Route,HTTP Status,Page Type,A++ Applied,Content Present,Main CTA,Mobile,RTL,Overflow,JS Error,Result
"/","200","Homepage","true","true","التقديم الرسمي ↗","true","true","false","","PASS"
"/_not-found/","200","Content","true","true","None","true","true","false","","PASS"
"/404.html","200","Content","true","true","None","true","true","false","","PASS"
"/404/","200","Content","true","true","None","true","true","false","","PASS"
"/accessibility/","200","Content","true","true","None","true","true","false","","PASS"
"/authorities/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/abu-dhabi-police/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/added-abu-dhabi/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/ajman-ded/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/det-dubai/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/dha-dubai/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/dld-rera/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/dubai-courts-notary/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/dubai-courts/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/dubai-customs/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/dubai-municipality/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/dubai-police/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/fta/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/fujairah-business/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/fujairah-free-zone/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/fujairah-municipality/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/gdrfa-dubai/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/icp/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/khda/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/moe/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/mofa/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/mohap/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/mohre/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/moj/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/rak-ded/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/rakez/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/rta-dubai/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/sca/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/sedd-sharjah/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/sharjah-ded/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/uaq-business/","200","Authority","true","true","None","true","true","false","","PASS"
"/authorities/uaq-ded/","200","Authority","true","true","None","true","true","false","","PASS"
"/categories/companies-establishments/","200","Category","true","true","None","true","true","false","","PASS"
